1,0,24.1,26.0
Ångström bar experiment:
Date: 28-9-2024
Start time: 13:37:50
Time   ,Heater status  ,Temp P   ,Temp Q   
1496,1,27.7,29.8
1501,1,27.6,29.8
1506,1,27.6,30.0
1511,1,27.6,29.6
1516,1,27.6,29.6
1521,1,27.7,29.5
1526,1,27.6,29.4
1531,1,27.6,29.6
1536,1,27.6,29.3
1541,1,27.5,29.3
1546,1,27.5,29.3
1551,1,27.5,29.1
1556,1,27.5,29.1
1561,1,27.5,29.1
1566,1,27.4,29.3
1571,1,27.3,29.0
1576,1,27.3,29.1
1581,1,27.4,29.1
1586,1,27.4,29.1
1591,1,27.3,29.4
1596,1,27.2,29.2
1601,1,27.3,29.2
1606,1,27.3,29.3
1611,1,27.3,29.5
1616,1,27.3,29.5
1621,1,27.4,29.6
1626,1,27.3,29.5
1631,1,27.3,29.5
1636,1,27.3,29.7
1641,1,27.3,29.8
1646,0,27.4,29.9
1651,0,27.3,29.9
1656,0,27.3,30.0
1661,0,27.3,30.1
1666,0,27.4,30.1
1671,0,27.5,30.2
1676,0,27.5,30.3
1681,0,27.5,30.3
1686,0,27.5,30.7
1691,0,27.5,30.7
1696,0,27.5,30.6
1701,0,27.6,30.6
1706,0,27.6,30.7
1711,0,27.6,30.8
1716,0,27.7,30.7
1721,0,27.7,30.6
1726,0,27.8,30.8
1731,0,27.8,30.6
1736,0,27.8,30.6
1741,0,27.8,30.8
1746,0,27.8,30.7
1751,0,27.8,30.6
1756,0,27.9,30.5
1761,0,27.8,30.4
1766,0,27.8,30.5
1771,0,27.9,30.3
1776,0,27.9,30.3
1781,0,28.0,30.1
1786,1,27.8,30.2
1791,1,27.8,30.0
1796,1,27.8,30.0
1801,1,27.8,30.0
1806,1,27.8,29.9
1811,1,27.8,29.8
1816,1,27.8,29.7
1821,1,27.8,29.6
1826,1,27.7,29.5
1831,1,27.7,29.5
1836,1,27.8,29.4
1841,1,27.7,29.5
1846,1,27.6,29.4
1851,1,27.6,29.3
1856,1,27.6,29.3
1861,1,27.6,29.3
1866,1,27.6,29.3
1871,1,27.5,29.2
1876,1,27.5,29.3
1881,1,27.6,29.2
1886,1,27.6,29.3
1891,1,27.5,29.5
1896,1,27.5,29.5
1901,1,27.5,29.5
1906,1,27.5,29.5
1911,1,27.3,29.5
1916,1,27.4,29.6
1921,1,27.5,29.6
